Keyword,Category,Intent,Page\_Type,Suggested\_Page\_URL
east africa safari packages,east-africa,transactional,category-landing,/
kenya tanzania safari tours,east-africa,transactional,category-landing,/
east africa honeymoon safari,east-africa,transactional,category-landing,/
africa big five safari tours,east-africa,transactional,category-landing,/
affordable african safari holidays,east-africa,transactional,category-landing,/
luxury safari lodges east africa,east-africa,transactional,category-landing,/
family safari packages africa,east-africa,transactional,category-landing,/
private guided safari east africa,east-africa,transactional,category-landing,/
solo safari east africa,east-africa,transactional,category-landing,/
digital nomad retreats east africa,east-africa,commercial,hub-landing,/
eco safari east africa,east-africa,transactional,category-landing,/
sustainable safaris east africa,east-africa,transactional,category-landing,/
wildlife photography safari east africa,east-africa,transactional,experience-landing,/vehicle-hire#photography
one-click safari packages africa,east-africa,transactional,package-landing,/tours/
all-inclusive east africa safari,east-africa,transactional,package-landing,/tours/
east africa safari cost 2025,east-africa,informational,pricing-landing,/blog/
budget east africa safari,east-africa,transactional,category-landing,/
luxury safari + zanzibar holiday,east-africa,transactional,package-landing,/tours/zanzibar-beach-holiday
east africa cultural tours,east-africa,commercial,hub-landing,/
bleisure safari east africa,east-africa,commercial,package-landing,/tours/
workcation packages east africa,east-africa,commercial,package-landing,/tours/
astrotourism safari east africa,east-africa,transactional,experience-landing,/tours/
silent retreat safari africa,east-africa,commercial,experience-landing,/tours/
wellness safari east africa,east-africa,transactional,category-landing,/
eco-luxury safari east africa,east-africa,transactional,category-landing,/
bucket list safaris east africa,east-africa,informational,guide-landing,/blog
extended safari east africa,east-africa,transactional,itinerary-landing,/tours/
tailor-made safari east africa,east-africa,transactional,custom-landing,/tours/
10-day east africa safari itinerary,east-africa,transactional,itinerary-landing,/tours/
14-day east africa adventure safari,east-africa,transactional,itinerary-landing,/tours/
short east africa safari trip,east-africa,transactional,itinerary-landing,/tours/
multi-country safari circuit,east-africa,transactional,package-landing,/tours/
east africa safari with beach,east-africa,transactional,package-landing,/tours/
mount kilimanjaro & safari combo,east-africa,transactional,package-landing,/tours/
masai mara and serengeti safari,east-africa,transactional,itinerary-landing,/tours/
maasai mara serengeti and zanzibar safari,east-africa,transactional,package-landing,/tours/
kenya safari cost 2025,safaris,informational,pricing-landing,/blog/
best african safari destinations,africa,informational,guide-landing,/blog/
wildebeest migration tours 2025,phenomena,transactional,experience-landing,/tours/
great migration kenya tours,phenomena,transactional,experience-landing,/tours/
best time to visit masai mara,kenya,informational,guide-landing,/blog/
great migration kenya dates 2025,kenya,informational,guide-landing,/blog/
masai mara safari deals,kenya,transactional,category-landing,/destinations/kenya
3-day masai mara safari from nairobi,kenya,transactional,itinerary-landing,/destinations/kenya/
4-day masai mara safari itinerary,kenya,transactional,itinerary-landing,/destinations/kenya/
luxury masai mara safari,kenya,transactional,category-landing,/destinations/kenya
budget masai mara safari,kenya,transactional,category-landing,/destinations/kenya/
masai mara hot air balloon safari,kenya,transactional,experience-landing,/destinations/kenya/
masai mara hot air balloon price,kenya,transactional,pricing-landing,/blog/
masai mara migration safari 2025,kenya,transactional,itinerary-landing,/destinations/kenya/
best safari lodges masai mara,kenya,commercial,roundup-landing,/blog/
nairobi national park tour,kenya,transactional,experience-landing,/destinations/kenya/
nairobi national park half-day tour,kenya,transactional,experience-landing,/destinations/kenya/
nairobi national park game drive,kenya,transactional,experience-landing,/destinations/kenya
sheldrick elephant orphanage tour,kenya,transactional,experience-landing,/destinations/kenya
giraffe centre nairobi tour,kenya,transactional,experience-landing,/destinations/kenya
karen blixen museum tour nairobi,kenya,transactional,experience-landing,/destinations/kenya
nairobi city full-day tour,kenya,transactional,experience-landing,/destinations/kenya
day trips from nairobi airport,kenya,transactional,hub-landing,/destinations/kenya
lake nakuru flamingo safari,kenya,transactional,experience-landing,/destinations/kenya
lake nakuru day trip from nairobi,kenya,transactional,itinerary-landing,/destinations/kenya/
hells gate bike tour,kenya,transactional,experience-landing,/destinations/kenya/
ol pejeta conservancy safari,kenya,transactional,category-landing,/destinations/kenya
mount kenya day hike,kenya,transactional,experience-landing,/destinations/kenya
,,,,
# Vehicle Hire Keywords,,,,
,,,,
safari jeep hire kenya,vehicle-hire,transactional,service-landing,/vehicle-hire/
4x4 safari rental tanzania,vehicle-hire,transactional,service-landing,/vehicle-hire/
luxury safari vehicle uganda,vehicle-hire,transactional,service-landing,/vehicle-hire/
self-drive safari rwanda,vehicle-hire,transactional,service-landing,/vehicle-hire/
east africa safari car hire,vehicle-hire,transactional,service-landing,/vehicle-hire/
affordable safari jeep rental kenya,vehicle-hire,transactional,service-landing,/vehicle-hire/
4x4 hire for masai mara safari,vehicle-hire,transactional,service-landing,/vehicle-hire/
self-drive east africa safari,vehicle-hire,transactional,service-landing,/vehicle-hire/
